Player,Unnamed: 0.1,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Giannis Antetokounmpo,0,0,PF,27,MIL,63,63,32.9,10.3,18.6,0.554,1.1,3.7,0.3,9.2,15.0,0.616,0.584,8.4,11.6,0.723,2.0,9.7,11.7,5.8,1.0,1.4,3.3,3.2,30.1
Bradley Beal,1,1,SG,28,WAS,40,40,36.0,8.7,19.3,0.451,1.6,5.3,0.3,7.1,14.0,0.508,0.492,4.2,5.1,0.833,1.0,3.8,4.7,6.6,0.9,0.4,3.4,2.4,23.2
Devin Booker,2,2,SG,25,PHO,66,66,34.5,9.7,20.8,0.464,2.7,7.0,0.377,7.0,13.8,0.508,0.528,4.7,5.4,0.865,0.7,4.3,5.0,4.9,1.2,0.4,2.4,2.6,26.6
Jaylen Brown,3,3,SF,25,BOS,62,62,33.8,8.7,18.4,0.471,2.5,7.1,0.355,6.2,11.3,0.543,0.539,3.7,4.9,0.764,0.8,5.3,6.1,3.3,1.0,0.3,2.7,2.4,23.6
Stephen Curry,4,4,PG,33,GSW,64,64,34.5,8.4,19.1,0.437,4.5,11.7,0.38,3.9,7.4,0.527,0.554,4.3,4.7,0.923,0.5,4.7,5.2,6.3,1.3,0.4,3.2,2.0,25.5
Anthony Davis,5,5,C,28,LAL,38,38,35.1,9.2,17.2,0.535,0.3,1.8,0.191,8.8,15.4,0.575,0.545,4.4,6.2,0.708,2.7,7.1,9.8,3.0,1.2,2.3,2.1,2.6,23.1
DeMar DeRozan,6,6,PF,32,CHI,73,73,36.2,10.2,20.3,0.503,0.7,1.9,0.355,9.5,18.4,0.519,0.52,6.9,7.9,0.877,0.7,4.5,5.3,5.0,0.9,0.3,2.3,2.3,28.0
Luka Dončić,7,7,PG,22,DAL,61,61,35.6,9.9,21.7,0.457,3.1,8.7,0.353,6.8,13.0,0.527,0.528,5.4,7.3,0.743,0.9,8.3,9.1,8.6,1.1,0.6,4.4,2.3,28.3
Kevin Durant,8,8,PF,33,BRK,51,51,37.0,10.7,20.5,0.524,2.1,5.4,0.393,8.6,15.1,0.572,0.576,6.6,7.3,0.905,0.5,6.8,7.3,6.1,0.9,0.9,3.4,2.0,30.1
Joel Embiid,9,9,C,27,PHI,64,64,33.5,9.6,19.4,0.494,1.3,3.7,0.364,8.2,15.7,0.524,0.529,9.5,11.7,0.816,2.1,9.4,11.5,4.3,1.1,1.4,3.1,2.7,30.0
De'Aaron Fox,10,10,PG,24,SAC,59,59,35.3,8.7,18.5,0.473,1.3,4.2,0.297,7.5,14.3,0.524,0.506,4.4,5.9,0.75,0.4,3.5,3.9,5.6,1.2,0.4,2.8,2.9,23.2
Paul George,11,11,SF,31,LAC,28,28,35.3,9.0,21.3,0.421,2.8,8.4,0.332,6.2,12.9,0.479,0.487,4.2,4.8,0.867,0.4,6.4,6.8,5.5,2.1,0.4,4.1,2.5,24.9
Shai Gilgeous-Alexander,12,12,PG,23,OKC,56,56,34.7,8.5,18.8,0.453,1.6,5.3,0.3,6.9,13.5,0.514,0.496,5.9,7.2,0.81,0.7,4.3,5.0,5.9,1.3,0.8,2.8,2.5,24.5
Kyrie Irving,13,13,PG,29,BRK,25,25,37.2,9.8,21.0,0.468,3.4,7.9,0.424,6.4,13.0,0.494,0.548,4.1,4.5,0.912,0.5,3.6,4.1,5.6,1.3,0.6,2.4,2.8,27.1
LeBron James,14,14,SF,37,LAL,56,56,37.2,11.4,21.8,0.524,2.9,8.0,0.359,8.6,13.8,0.62,0.59,4.5,6.0,0.756,1.1,7.1,8.2,6.2,1.3,1.1,3.5,2.2,30.3
Nikola Jokić,15,15,C,26,DEN,71,71,33.3,10.1,17.3,0.581,1.3,3.9,0.343,8.7,13.4,0.651,0.62,5.1,6.3,0.813,2.8,10.8,13.6,8.0,1.4,0.8,3.8,2.6,26.6
Zach LaVine,16,16,SF,26,CHI,65,65,34.9,8.5,17.9,0.477,2.8,7.2,0.393,5.7,10.7,0.533,0.556,4.8,5.7,0.851,0.3,4.3,4.6,4.5,0.6,0.3,2.6,1.8,24.7
Damian Lillard,17,17,PG,31,POR,29,29,36.4,7.7,19.0,0.402,3.2,9.8,0.324,4.5,9.2,0.485,0.486,5.5,6.2,0.878,0.4,3.7,4.1,7.3,0.6,0.4,2.9,1.3,24.0
CJ McCollum,18,18,SG,30,NOP,21,21,35.6,10.2,20.2,0.505,2.9,7.2,0.395,7.3,13.0,0.566,0.575,3.0,4.1,0.713,0.8,4.1,4.9,6.2,1.1,0.0,2.3,1.8,26.2
Donovan Mitchell,19,19,SG,25,UTA,65,65,33.7,9.3,20.5,0.454,3.5,9.9,0.359,5.8,10.6,0.542,0.54,4.0,4.6,0.851,0.8,3.3,4.1,5.4,1.5,0.2,3.0,2.5,26.1
Ja Morant,20,20,PG,22,MEM,56,56,33.3,10.2,20.8,0.493,1.5,4.5,0.34,8.7,16.3,0.535,0.53,5.6,7.3,0.762,1.3,4.4,5.7,6.7,1.2,0.4,3.4,1.5,27.6
Jayson Tatum,21,21,SF,23,BOS,73,73,36.2,9.4,20.8,0.451,3.0,8.6,0.352,6.3,12.1,0.521,0.524,5.3,6.2,0.859,1.1,6.9,8.0,4.3,1.0,0.6,2.8,2.3,27.1
Karl-Anthony Towns,22,22,C,26,MIN,71,71,33.4,8.6,16.3,0.53,2.0,4.9,0.411,6.6,11.4,0.582,0.592,5.3,6.4,0.827,2.6,7.2,9.8,3.6,1.0,1.1,3.1,3.6,24.5
Trae Young,23,23,PG,23,ATL,72,72,34.8,9.3,20.3,0.459,3.1,8.0,0.383,6.3,12.3,0.509,0.535,6.6,7.3,0.903,0.6,3.1,3.8,9.6,1.0,0.1,4.0,1.7,28.3
