Player,Unnamed: 0,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,0,C,22,TOR,68,27,23.6,3.6,8.2,0.442,0.7,2.0,0.36,2.9,6.2,0.468,0.486,1.0,1.7,0.598,2.1,4.6,6.7,1.1,0.5,0.6,1.1,2.1,9.0
LaMarcus Aldridge,3,C,36,BRK,45,12,22.8,5.6,10.1,0.554,0.3,1.0,0.311,5.3,9.1,0.58,0.569,2.0,2.3,0.873,1.6,4.0,5.6,0.9,0.3,1.0,0.9,1.6,13.5
Grayson Allen,4,SG,26,MIL,64,61,27.5,3.9,8.7,0.445,2.4,6.0,0.408,1.4,2.7,0.526,0.585,0.9,1.1,0.857,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1
Justin Anderson,6,SF,28,IND,11,6,22.5,2.9,7.4,0.395,1.2,4.5,0.265,1.7,2.9,0.594,0.475,1.1,1.4,0.8,0.4,3.2,3.5,2.2,0.6,0.3,0.5,1.6,8.1
Kyle Anderson,7,PF,28,MEM,65,10,21.5,3.0,6.8,0.439,0.5,1.6,0.317,2.5,5.2,0.475,0.475,0.9,1.5,0.629,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.5,7.4
Carmelo Anthony,9,PF,37,LAL,67,3,26.0,4.6,10.4,0.443,2.2,5.7,0.38,2.4,4.6,0.521,0.548,1.9,2.3,0.828,0.9,3.3,4.2,1.0,0.7,0.8,0.9,2.4,13.3
Deni Avdija,12,SF,21,WAS,77,6,23.8,2.9,6.8,0.43,1.0,3.0,0.322,1.9,3.8,0.517,0.502,1.3,1.7,0.765,0.6,4.6,5.2,1.9,0.7,0.5,1.0,2.3,8.1
Marvin Bagley III,14,PF,22,DET,18,8,27.2,6.2,11.1,0.555,0.4,1.9,0.229,5.7,9.2,0.624,0.575,1.8,3.0,0.593,2.1,4.7,6.8,1.1,0.7,0.4,1.0,2.4,14.6
Lonzo Ball,16,PG,24,CHI,35,35,34.6,4.6,10.9,0.423,3.1,7.4,0.423,1.5,3.5,0.423,0.567,0.6,0.8,0.75,1.0,4.4,5.4,5.1,1.8,0.9,2.3,2.4,13.0
Mo Bamba,17,C,23,ORL,67,65,25.9,4.1,8.6,0.478,1.4,3.8,0.37,2.7,4.8,0.562,0.559,0.8,1.0,0.803,2.1,5.9,8.0,1.2,0.6,1.6,1.1,2.6,10.4
Will Barton,22,SG,31,DEN,68,68,31.9,5.5,12.7,0.437,2.1,6.0,0.358,3.4,6.7,0.508,0.521,1.4,1.8,0.798,0.6,4.2,4.9,3.9,0.8,0.5,1.8,1.6,14.6
Nicolas Batum,23,PF,33,LAC,56,51,24.9,3.1,6.7,0.461,1.9,4.7,0.397,1.2,2.0,0.611,0.6,0.4,0.6,0.667,0.5,3.8,4.3,1.6,1.0,0.8,0.7,1.4,8.5
Darius Bazley,24,PF,21,OKC,69,53,27.9,4.0,9.4,0.422,1.2,3.9,0.297,2.8,5.5,0.511,0.484,1.7,2.5,0.688,1.0,5.3,6.3,1.4,0.8,1.0,1.3,1.0,10.8
Malik Beasley,26,SG,25,MIN,75,14,25.0,4.2,10.8,0.391,3.0,8.1,0.377,1.2,2.7,0.432,0.531,0.6,0.8,0.807,0.3,2.6,2.9,1.5,0.5,0.1,0.6,1.1,12.1
Patrick Beverley,27,PG,33,MIN,56,52,25.6,3.1,7.6,0.407,1.5,4.2,0.347,1.6,3.4,0.481,0.504,1.6,2.3,0.724,1.1,3.1,4.2,4.6,1.2,0.9,1.3,3.0,9.3
Eric Bledsoe,29,PG,32,LAC,54,29,25.2,3.6,8.7,0.421,0.9,3.0,0.313,2.7,5.6,0.479,0.475,1.6,2.2,0.761,0.5,2.9,3.4,4.2,1.3,0.4,2.1,1.6,9.9
Bogdan Bogdanović,30,SG,29,ATL,59,27,29.2,5.4,12.4,0.432,2.6,7.1,0.359,2.8,5.3,0.531,0.535,1.5,1.8,0.858,0.5,3.4,3.8,3.0,1.1,0.2,1.2,2.1,14.8
Chris Boucher,33,PF,29,TOR,75,9,20.9,3.3,7.1,0.467,0.8,2.8,0.288,2.5,4.3,0.582,0.523,1.8,2.3,0.773,2.2,3.9,6.2,0.3,0.6,0.9,0.5,2.2,9.3
Avery Bradley,34,SG,31,LAL,60,43,22.7,2.4,5.7,0.416,1.3,3.4,0.387,1.1,2.3,0.46,0.532,0.3,0.3,0.889,0.5,1.7,2.2,0.8,0.9,0.2,0.6,1.9,6.3
Mikal Bridges,35,SF,25,PHO,77,77,35.5,5.7,10.6,0.535,1.5,3.9,0.377,4.2,6.7,0.627,0.604,1.6,1.9,0.824,0.9,3.4,4.3,2.3,1.2,0.5,0.8,1.9,14.4
Oshae Brissett,37,SF,23,IND,63,21,22.8,2.9,7.2,0.406,1.1,3.3,0.338,1.8,3.9,0.465,0.485,1.6,2.3,0.694,1.6,3.6,5.2,0.9,0.7,0.5,0.7,1.7,8.6
Bruce Brown,40,SF,25,BRK,68,41,24.0,3.5,6.9,0.503,0.5,1.2,0.381,3.0,5.6,0.53,0.537,1.3,1.7,0.748,1.4,3.3,4.7,1.9,1.1,0.6,0.7,2.4,8.6
Reggie Bullock,43,SF,30,DAL,64,33,27.8,3.0,7.4,0.399,2.1,5.8,0.358,0.9,1.6,0.549,0.539,0.6,0.7,0.826,0.5,3.0,3.5,1.2,0.6,0.2,0.6,1.5,8.6
Alec Burks,44,SG,30,NYK,77,40,28.2,3.5,9.0,0.386,1.9,4.8,0.397,1.6,4.2,0.374,0.493,2.6,3.2,0.826,0.6,4.3,4.8,2.8,1.1,0.3,1.0,2.6,11.5
Kentavious Caldwell-Pope,46,SG,28,WAS,74,74,30.4,4.6,10.7,0.434,2.1,5.4,0.394,2.5,5.4,0.474,0.532,1.8,2.1,0.888,0.5,2.9,3.4,1.9,1.1,0.3,1.2,1.8,13.2
Alex Caruso,49,SG,27,CHI,40,17,28.1,2.6,6.3,0.408,1.1,3.0,0.347,1.5,3.2,0.465,0.492,1.5,1.8,0.795,0.8,2.8,3.6,3.9,1.8,0.4,1.4,2.6,7.6
