Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
LaMelo Ball,PG,20,CHO,71,71,32.3,7.1,16.7,0.425,2.8,7.5,0.379,4.3,9.3,0.462,0.51,2.9,3.3,0.869,1.5,5.2,6.7,7.5,1.6,0.4,3.2,3.2,19.9
Darius Garland,PG,22,CLE,64,64,35.8,7.9,17.2,0.462,2.5,6.8,0.377,5.4,10.4,0.516,0.536,3.2,3.5,0.894,0.6,2.8,3.3,8.7,1.3,0.1,3.8,1.7,21.6
Tyrese Haliburton,PG,21,IND,22,22,35.7,6.1,12.5,0.493,2.4,5.5,0.426,3.8,6.9,0.546,0.588,2.5,3.0,0.836,0.8,3.3,4.1,9.5,2.0,0.5,3.2,2.0,17.2
James Harden,SG,32,PHI,17,17,37.3,5.7,13.8,0.413,2.3,6.7,0.342,3.4,7.1,0.479,0.496,8.4,9.4,0.888,0.5,7.0,7.5,9.8,1.4,0.3,3.3,2.4,22.1
Kyle Lowry,PG,35,MIA,61,61,33.9,4.3,10.0,0.435,2.3,6.1,0.373,2.0,3.8,0.534,0.55,2.3,2.7,0.855,0.5,3.9,4.4,7.6,1.0,0.3,2.7,2.8,13.3
Dejounte Murray,PG,25,SAS,67,67,34.8,8.5,18.3,0.463,1.4,4.3,0.33,7.1,14.0,0.504,0.502,2.8,3.6,0.788,1.2,7.2,8.4,9.3,2.0,0.3,2.7,2.0,21.2
Chris Paul,PG,36,PHO,62,62,33.0,5.6,11.4,0.492,1.0,3.1,0.326,4.6,8.3,0.554,0.537,2.7,3.2,0.838,0.3,4.1,4.4,10.7,1.8,0.3,2.4,2.0,14.9
Russell Westbrook,PG,33,LAL,76,76,34.3,6.9,15.8,0.44,1.0,3.4,0.295,5.9,12.3,0.48,0.472,3.4,5.0,0.669,1.4,6.0,7.4,7.1,1.0,0.3,3.8,3.0,18.2
Bam Adebayo,C,24,MIA,53,53,32.6,7.3,13.1,0.556,0.0,0.1,0.0,7.3,13.0,0.56,0.556,4.5,5.9,0.756,2.5,7.7,10.2,3.4,1.5,0.8,2.7,3.1,19.0
Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,0.677,0.0,0.2,0.1,6.6,9.6,0.688,0.678,2.9,4.2,0.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
Cole Anthony,PG,21,ORL,64,64,32.1,5.6,14.2,0.392,2.1,6.1,0.338,3.5,8.1,0.433,0.464,3.4,4.0,0.854,0.5,4.9,5.4,5.8,0.7,0.3,2.7,2.7,16.6
OG Anunoby,SF,24,TOR,47,47,36.2,6.5,14.6,0.445,2.4,6.6,0.369,4.1,8.0,0.508,0.528,1.9,2.5,0.75,1.5,3.9,5.4,2.6,1.5,0.5,1.6,2.8,17.3
Deandre Ayton,C,23,PHO,56,56,29.5,7.6,11.9,0.636,0.1,0.3,0.353,7.4,11.6,0.644,0.641,1.9,2.5,0.743,2.5,7.7,10.2,1.4,0.7,0.7,1.6,2.4,17.1
Desmond Bane,SF,23,MEM,73,73,29.9,6.7,14.5,0.46,3.0,7.0,0.43,3.7,7.6,0.488,0.564,1.8,2.0,0.898,0.6,3.8,4.4,2.8,1.2,0.4,1.5,2.5,18.2
Scottie Barnes,PF,20,TOR,69,69,35.5,6.2,12.7,0.491,0.8,2.5,0.299,5.5,10.1,0.539,0.521,2.2,3.0,0.735,2.7,4.9,7.5,3.5,1.1,0.8,1.9,2.6,15.4
RJ Barrett,SF,21,NYK,67,67,34.7,6.9,17.0,0.409,2.0,5.7,0.346,5.0,11.2,0.441,0.467,4.1,5.7,0.72,1.0,4.9,5.9,2.9,0.6,0.2,2.2,2.1,20.0
