Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS
Precious Achiuwa,C,22,TOR,68,27,23.6,3.6,8.2,.442,0.7,2.0,.360,2.9,6.2,.468,.486,1.0,1.7,.598,2.1,4.6,6.7,1.1,0.5,0.6,1.1,2.1,9.0
Steven Adams,C,28,MEM,73,72,26.4,2.8,5.2,.548,0.0,0.0,.000,2.8,5.1,.549,.548,1.5,2.6,.554,4.7,5.3,10.0,3.3,0.9,0.8,1.5,2.0,7.1
Bam Adebayo,C,24,MIA,53,53,32.6,7.3,13.1,.556,0.0,0.1,.000,7.3,13.0,.560,.556,4.5,5.9,.756,2.5,7.7,10.2,3.4,1.5,0.8,2.7,3.1,19.0
Santi Aldama,PF,21,MEM,30,0,10.6,1.4,3.6,.394,0.1,1.4,.098,1.3,2.3,.574,.413,0.5,0.8,.583,0.8,1.6,2.4,0.5,0.1,0.3,0.4,1.1,3.5
LaMarcus Aldridge,C,36,BRK,45,12,22.8,5.6,10.1,.554,0.3,1.0,.311,5.3,9.1,.580,.569,2.0,2.3,.873,1.6,4.0,5.6,0.9,0.3,1.0,0.9,1.6,13.5
Nickeil Alexander-Walker,SG,23,UTA,13,2,9.9,0.9,3.2,.293,0.5,2.1,.259,0.4,1.1,.357,.378,0.8,0.8,.909,0.1,1.5,1.5,1.0,0.3,0.3,0.6,1.0,3.2
Grayson Allen,SG,26,MIL,64,61,27.5,3.9,8.7,.445,2.4,6.0,.408,1.4,2.7,.526,.585,0.9,1.1,.857,0.5,2.9,3.4,1.5,0.7,0.3,0.7,1.5,11.1
Jarrett Allen,C,23,CLE,56,56,32.3,6.6,9.7,.677,0.0,0.2,.100,6.6,9.6,.688,.678,2.9,4.2,.708,3.4,7.3,10.8,1.6,0.8,1.3,1.7,1.7,16.1
Jose Alvarado,PG,23,NOP,49,1,15.2,2.4,5.3,.444,0.6,2.0,.313,1.7,3.3,.525,.504,0.7,0.9,.711,0.5,1.4,1.9,2.7,1.3,0.1,0.7,1.4,6.0
Justin Anderson,SF,28,IND,11,6,22.5,2.9,7.4,.395,1.2,4.5,.265,1.7,2.9,.594,.475,1.1,1.4,.800,0.4,3.2,3.5,2.2,0.6,0.3,0.5,1.6,8.1
Kyle Anderson,PF,28,MEM,65,10,21.5,3.0,6.8,.439,0.5,1.6,.317,2.5,5.2,.475,.475,0.9,1.5,.629,1.0,4.4,5.4,2.6,1.1,0.6,1.0,1.5,7.4
Giannis Antetokounmpo,PF,27,MIL,63,63,32.9,10.3,18.6,.554,1.1,3.7,.300,9.2,15.0,.616,.584,8.4,11.6,.723,2.0,9.7,11.7,5.8,1.0,1.4,3.3,3.2,30.1
